epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,123.95,1.7751,1.12329,1.12504,0.8115,0.85431,0.85035,0.45819,1.62506,1.03974,1.10407,0.0011882,0.0011882,0.0011882
43,126.757,1.80549,1.10646,1.12744,0.80167,0.8226,0.83863,0.46177,1.58842,1.01159,1.09393,0.0011684,0.0011684,0.0011684
44,129.679,1.73361,1.09503,1.12166,0.80748,0.83548,0.83714,0.45557,1.64344,1.0111,1.10456,0.0011486,0.0011486,0.0011486
45,132.553,1.82069,1.09992,1.11993,0.80663,0.85579,0.84312,0.4636,1.6044,0.99712,1.09673,0.0011288,0.0011288,0.0011288
46,135.466,1.75007,1.09196,1.11969,0.80692,0.83666,0.8415,0.46462,1.62294,0.99869,1.10134,0.001109,0.001109,0.001109
47,138.303,1.80701,1.09754,1.11746,0.78975,0.83944,0.83077,0.45089,1.6254,1.02185,1.10193,0.0010892,0.0010892,0.0010892
48,141.239,1.73036,1.08945,1.12082,0.81491,0.84214,0.83722,0.45272,1.60459,1.00785,1.10169,0.0010694,0.0010694,0.0010694
49,144.169,1.73906,1.07913,1.08603,0.83002,0.86125,0.8599,0.45533,1.65776,0.99006,1.11129,0.0010496,0.0010496,0.0010496
50,147.044,1.76451,1.07787,1.11977,0.8241,0.83449,0.83403,0.40639,1.72316,1.04557,1.10705,0.0010298,0.0010298,0.0010298
51,149.878,1.80103,1.07703,1.12306,0.8191,0.84737,0.84294,0.45548,1.62938,1.00681,1.11336,0.00101,0.00101,0.00101
52,152.705,1.72578,1.06323,1.09822,0.81242,0.85927,0.84313,0.4654,1.60157,1.0009,1.1032,0.0009902,0.0009902,0.0009902
53,155.38,1.75591,1.12025,1.11765,0.80032,0.83418,0.83024,0.45977,1.60815,1.01203,1.10434,0.0009704,0.0009704,0.0009704
54,158.116,1.77666,1.08723,1.10943,0.80044,0.82854,0.81949,0.45373,1.59006,1.02079,1.08798,0.0009506,0.0009506,0.0009506
55,160.859,1.75872,1.08565,1.08384,0.84149,0.85927,0.86109,0.46487,1.61238,0.9872,1.09585,0.0009308,0.0009308,0.0009308
56,163.615,1.71649,1.0577,1.09419,0.79906,0.85629,0.84671,0.44834,1.66496,1.02869,1.10839,0.000911,0.000911,0.000911
57,166.275,1.76604,1.0665,1.11436,0.78958,0.82458,0.81995,0.45872,1.59104,1.0022,1.09674,0.0008912,0.0008912,0.0008912
58,168.909,1.75384,1.07037,1.1159,0.80906,0.83449,0.83465,0.4731,1.58865,0.9679,1.09834,0.0008714,0.0008714,0.0008714
59,171.601,1.74525,1.04728,1.10569,0.80454,0.8363,0.83406,0.47007,1.57947,0.96999,1.09181,0.0008516,0.0008516,0.0008516
60,174.252,1.73192,1.04934,1.09165,0.81623,0.84836,0.85594,0.46386,1.62976,0.96977,1.09714,0.0008318,0.0008318,0.0008318
61,176.897,1.70099,1.03713,1.10023,0.82254,0.8444,0.82501,0.45286,1.59772,0.99242,1.09836,0.000812,0.000812,0.000812
62,179.622,1.74245,1.05052,1.10241,0.84941,0.86652,0.86181,0.4648,1.59626,0.96971,1.09615,0.0007922,0.0007922,0.0007922
63,182.298,1.69068,1.05439,1.10151,0.83758,0.84836,0.83789,0.46545,1.58207,0.96944,1.09381,0.0007724,0.0007724,0.0007724
64,184.986,1.72055,1.03748,1.09179,0.8209,0.84143,0.83146,0.46644,1.59309,0.98372,1.10402,0.0007526,0.0007526,0.0007526
65,187.75,1.76483,1.04786,1.10059,0.83853,0.85134,0.83999,0.45584,1.60904,0.99326,1.08758,0.0007328,0.0007328,0.0007328
66,190.447,1.70019,1.04463,1.08671,0.84808,0.86224,0.85731,0.47091,1.58882,0.95547,1.09069,0.000713,0.000713,0.000713
67,193.09,1.712,1.04457,1.09348,0.83941,0.85993,0.8527,0.46833,1.5854,0.9688,1.0874,0.0006932,0.0006932,0.0006932
68,195.746,1.74121,1.04645,1.11979,0.8207,0.8444,0.83857,0.47038,1.56653,0.9672,1.09596,0.0006734,0.0006734,0.0006734
69,198.4,1.71667,1.03696,1.09835,0.8361,0.84937,0.85766,0.47592,1.59161,0.96579,1.09406,0.0006536,0.0006536,0.0006536
70,201.054,1.72387,1.0299,1.09621,0.83936,0.86323,0.86153,0.47168,1.61664,0.95617,1.1048,0.0006338,0.0006338,0.0006338
71,203.975,1.70141,1.00596,1.10159,0.80853,0.84836,0.82647,0.46388,1.59038,0.978,1.08536,0.000614,0.000614,0.000614
