epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.29252,2.36266,2.37825,1.16334,0.05194,0.83543,0.08991,0.0305,2.09055,3.24554,1.05283,0.000647059,0.000647059,0.000647059
2,11.7711,2.09399,1.24155,1.07075,0.09846,0.87319,0.71284,0.24731,1.98056,2.42018,1.03758,0.00130072,0.00130072,0.00130072
3,17.1642,2.08533,1.16066,1.06405,0.61648,0.6085,0.56562,0.17495,2.23602,1.8546,1.12961,0.00194118,0.00194118,0.00194118
4,22.5832,2.06678,1.1216,1.06419,0.77681,0.79627,0.80352,0.32853,2.00599,1.26285,1.06217,0.0019406,0.0019406,0.0019406
5,27.9906,2.0333,1.08144,1.05619,0.72774,0.78382,0.74941,0.28512,2.05248,1.19884,1.06485,0.0019208,0.0019208,0.0019208
6,33.4345,2.05201,1.10106,1.05409,0.81077,0.85501,0.84475,0.33953,1.9509,1.0111,1.04954,0.001901,0.001901,0.001901
7,38.7991,1.96082,1.04823,1.04411,0.77492,0.80573,0.77859,0.28938,2.03205,1.16635,1.06414,0.0018812,0.0018812,0.0018812
8,44.1653,1.99286,1.01765,1.04769,0.82378,0.86434,0.8391,0.32996,1.96642,0.98509,1.05212,0.0018614,0.0018614,0.0018614
9,49.5091,1.98582,1.01748,1.03804,0.85434,0.86247,0.86384,0.35136,1.99325,0.98965,1.06525,0.0018416,0.0018416,0.0018416
10,54.8552,1.99113,1.01443,1.05463,0.83838,0.84103,0.83925,0.32903,1.98405,1.01333,1.05509,0.0018218,0.0018218,0.0018218
11,60.2002,1.95477,1.0005,1.0361,0.88527,0.89929,0.8947,0.36887,1.9534,0.90642,1.04883,0.001802,0.001802,0.001802
12,65.595,1.92584,0.98265,1.03499,0.88646,0.88904,0.8887,0.37522,1.92859,0.94707,1.04572,0.0017822,0.0017822,0.0017822
13,70.9298,1.94778,0.97454,1.03334,0.88903,0.88142,0.89946,0.39039,1.91172,0.91041,1.03965,0.0017624,0.0017624,0.0017624
14,76.2631,1.96295,0.97796,1.0441,0.88136,0.89138,0.88654,0.38078,1.91112,0.90958,1.04261,0.0017426,0.0017426,0.0017426
15,81.5757,1.9269,0.94359,1.03578,0.87712,0.89324,0.89015,0.38366,1.92324,0.90362,1.04262,0.0017228,0.0017228,0.0017228
16,86.923,1.94315,0.94015,1.03363,0.8865,0.90304,0.90038,0.39335,1.89448,0.90264,1.03453,0.001703,0.001703,0.001703
17,92.2224,1.92212,0.93785,1.03472,0.87795,0.87195,0.87261,0.36679,1.92963,0.93085,1.04556,0.0016832,0.0016832,0.0016832
18,97.5785,1.938,0.9541,1.0389,0.867,0.87459,0.87201,0.3583,1.93436,0.95058,1.04184,0.0016634,0.0016634,0.0016634
19,102.881,1.90161,0.92654,1.02839,0.88231,0.88079,0.88122,0.3727,1.93276,0.91562,1.04426,0.0016436,0.0016436,0.0016436
20,108.256,1.92569,0.93109,1.03706,0.88475,0.91049,0.89981,0.39863,1.87373,0.90233,1.03168,0.0016238,0.0016238,0.0016238
21,113.589,1.93147,0.93745,1.03697,0.88951,0.89044,0.89872,0.39784,1.90149,0.89617,1.03613,0.001604,0.001604,0.001604
22,118.982,1.91174,0.92614,1.02797,0.87496,0.90536,0.88965,0.39434,1.9044,0.91065,1.0413,0.0015842,0.0015842,0.0015842
23,124.331,1.88612,0.89888,1.02625,0.88685,0.88425,0.88327,0.3921,1.96673,0.85643,1.05233,0.0015644,0.0015644,0.0015644
24,129.716,1.92405,0.91688,1.02571,0.88118,0.88951,0.88995,0.38369,1.91333,0.89704,1.04389,0.0015446,0.0015446,0.0015446
25,135.021,1.91099,0.89982,1.02769,0.88498,0.90443,0.90691,0.40295,1.89492,0.86897,1.03521,0.0015248,0.0015248,0.0015248
26,140.401,1.92417,0.90282,1.02802,0.87364,0.88959,0.87707,0.37559,1.88899,0.91245,1.03678,0.001505,0.001505,0.001505
27,145.701,1.88637,0.90248,1.02291,0.87641,0.89262,0.87406,0.35599,1.92266,0.90232,1.0402,0.0014852,0.0014852,0.0014852
28,151.022,1.9061,0.9,1.02082,0.88758,0.89814,0.90258,0.39791,1.89169,0.88256,1.03376,0.0014654,0.0014654,0.0014654
29,156.348,1.87932,0.88961,1.01902,0.88971,0.89277,0.89373,0.40908,1.8817,0.86033,1.03761,0.0014456,0.0014456,0.0014456
30,161.7,1.87649,0.86884,1.01982,0.89989,0.90942,0.91599,0.41638,1.88957,0.83388,1.02852,0.0014258,0.0014258,0.0014258
31,167.072,1.8772,0.86866,1.0141,0.87713,0.91142,0.89214,0.3964,1.87097,0.85358,1.0278,0.001406,0.001406,0.001406
32,172.458,1.89063,0.87559,1.02268,0.88933,0.90658,0.91999,0.42486,1.83945,0.84065,1.01613,0.0013862,0.0013862,0.0013862
33,177.782,1.8852,0.8668,1.02942,0.87526,0.88973,0.88971,0.39673,1.86516,0.87677,1.02311,0.0013664,0.0013664,0.0013664
34,183.145,1.89438,0.87304,1.0172,0.90079,0.92121,0.9163,0.42714,1.83638,0.83787,1.02026,0.0013466,0.0013466,0.0013466
35,188.537,1.87796,0.85452,1.02398,0.89325,0.90508,0.9061,0.41242,1.88546,0.8266,1.03224,0.0013268,0.0013268,0.0013268
36,193.931,1.86033,0.83709,1.02452,0.90583,0.91039,0.92445,0.429,1.83031,0.80969,1.01787,0.001307,0.001307,0.001307
37,199.286,1.83673,0.8358,1.02037,0.89226,0.89371,0.90609,0.41316,1.87111,0.84082,1.02511,0.0012872,0.0012872,0.0012872
38,204.654,1.85972,0.85773,1.02074,0.88274,0.91953,0.90953,0.4299,1.82769,0.82478,1.01932,0.0012674,0.0012674,0.0012674
39,210.045,1.84067,0.836,1.013,0.90071,0.8979,0.91353,0.42858,1.82039,0.81324,1.01582,0.0012476,0.0012476,0.0012476
