epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.57568,2.37229,2.41616,1.19004,0.05435,0.87413,0.08407,0.02976,2.04725,3.20304,1.05863,0.000647059,0.000647059,0.000647059
2,11.8549,2.04064,1.24476,1.07906,0.05939,0.95524,0.54511,0.17353,1.99717,2.59023,1.06184,0.00130072,0.00130072,0.00130072
3,17.0201,2.05724,1.15807,1.08185,0.6546,0.34016,0.52891,0.16257,2.12539,2.21473,1.12814,0.00194118,0.00194118,0.00194118
4,22.2729,2.03936,1.14214,1.07122,0.79437,0.81772,0.82218,0.31021,2.0255,1.2838,1.0893,0.0019406,0.0019406,0.0019406
5,27.4477,1.99762,1.07149,1.06957,0.8509,0.88327,0.87992,0.36156,1.95428,1.00235,1.07658,0.0019208,0.0019208,0.0019208
6,32.6538,2.01272,1.08214,1.06496,0.82843,0.87646,0.8551,0.34939,1.93042,1.00861,1.069,0.001901,0.001901,0.001901
7,37.7597,1.92961,1.05634,1.05604,0.86029,0.88131,0.87106,0.36303,1.90664,0.98353,1.06522,0.0018812,0.0018812,0.0018812
8,42.881,1.93878,1.01873,1.0524,0.85697,0.89388,0.87448,0.36985,1.90446,0.95199,1.06958,0.0018614,0.0018614,0.0018614
9,48.0134,1.95472,1.00496,1.04794,0.8553,0.86526,0.87332,0.36291,1.9366,0.99606,1.07311,0.0018416,0.0018416,0.0018416
10,53.1361,1.95694,1.00098,1.05988,0.83515,0.86679,0.83372,0.32869,1.96302,1.01808,1.07385,0.0018218,0.0018218,0.0018218
11,58.2755,1.901,0.99322,1.04131,0.86184,0.87786,0.87672,0.3591,1.93465,0.95502,1.07171,0.001802,0.001802,0.001802
12,63.4271,1.91138,0.96252,1.04708,0.86162,0.87664,0.84706,0.33121,1.9245,0.97236,1.06152,0.0017822,0.0017822,0.0017822
13,68.5348,1.92123,0.96828,1.03972,0.88961,0.87166,0.88919,0.3946,1.89959,0.9004,1.05911,0.0017624,0.0017624,0.0017624
